,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,TAXI_IN,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DEP_DELAY
0,9.0,28.0,3.0,0,1055.0,1047.0,9.0,7.0,79.0,68.0,-8.0
1,4.0,14.0,4.0,1,705.0,700.0,13.0,7.0,65.0,62.0,-5.0
2,6.0,6.0,1.0,2,1931.0,1927.0,17.0,5.0,59.0,57.0,-4.0
4,5.0,6.0,5.0,1,730.0,724.0,11.0,11.0,175.0,177.0,-6.0
5,2.0,12.0,5.0,3,605.0,600.0,18.0,5.0,154.0,152.0,-5.0
7,9.0,2.0,5.0,2,1526.0,1522.0,16.0,6.0,74.0,65.0,-4.0
8,2.0,8.0,1.0,4,645.0,651.0,16.0,11.0,172.0,136.0,6.0
10,2.0,16.0,2.0,6,1246.0,1237.0,14.0,12.0,122.0,114.0,-9.0
11,1.0,3.0,7.0,2,1130.0,1134.0,17.0,9.0,195.0,176.0,4.0
12,4.0,11.0,1.0,2,1956.0,1951.0,14.0,3.0,138.0,126.0,-5.0
13,9.0,4.0,7.0,1,1535.0,1531.0,10.0,6.0,130.0,118.0,-4.0
14,6.0,1.0,3.0,1,1905.0,1913.0,7.0,3.0,145.0,140.0,8.0
16,4.0,1.0,5.0,2,840.0,900.0,13.0,6.0,70.0,56.0,20.0
18,4.0,13.0,3.0,0,2030.0,2019.0,25.0,5.0,112.0,102.0,-11.0
19,1.0,23.0,6.0,7,1200.0,1206.0,10.0,11.0,270.0,259.0,6.0
20,7.0,27.0,3.0,6,1050.0,1049.0,17.0,8.0,95.0,86.0,-1.0
21,3.0,2.0,3.0,0,645.0,637.0,18.0,12.0,73.0,89.0,-8.0
22,10.0,7.0,5.0,2,1510.0,1510.0,14.0,14.0,184.0,184.0,0.0
23,8.0,11.0,4.0,6,720.0,713.0,26.0,5.0,82.0,88.0,-7.0
24,9.0,13.0,2.0,1,1340.0,1336.0,8.0,5.0,80.0,79.0,-4.0
25,1.0,27.0,3.0,2,1420.0,1412.0,29.0,5.0,215.0,208.0,-8.0
26,12.0,16.0,5.0,2,1725.0,1720.0,16.0,12.0,97.0,78.0,-5.0
28,4.0,9.0,6.0,1,835.0,834.0,8.0,5.0,70.0,64.0,-1.0
29,7.0,16.0,6.0,7,1025.0,1021.0,11.0,3.0,117.0,111.0,-4.0
30,1.0,14.0,4.0,1,715.0,709.0,10.0,4.0,80.0,76.0,-6.0
31,3.0,13.0,7.0,7,1455.0,1501.0,10.0,5.0,258.0,251.0,6.0
32,3.0,17.0,4.0,2,2100.0,2057.0,12.0,11.0,95.0,82.0,-3.0
33,2.0,29.0,1.0,5,1722.0,1718.0,10.0,7.0,107.0,102.0,-4.0
34,1.0,16.0,6.0,1,1825.0,1840.0,13.0,5.0,155.0,129.0,15.0
35,5.0,4.0,3.0,2,620.0,615.0,15.0,8.0,103.0,102.0,-5.0
37,9.0,11.0,7.0,6,720.0,709.0,13.0,6.0,95.0,78.0,-11.0
38,5.0,13.0,5.0,1,1740.0,1752.0,9.0,3.0,65.0,59.0,12.0
39,10.0,12.0,3.0,7,2235.0,2256.0,30.0,4.0,291.0,271.0,21.0
40,3.0,15.0,2.0,0,2138.0,2128.0,9.0,10.0,81.0,72.0,-10.0
41,4.0,7.0,4.0,2,1940.0,1949.0,14.0,6.0,158.0,145.0,9.0
42,6.0,23.0,4.0,7,855.0,849.0,24.0,6.0,162.0,157.0,-6.0
43,4.0,3.0,7.0,7,710.0,706.0,18.0,9.0,165.0,173.0,-4.0
44,4.0,13.0,3.0,2,1725.0,1720.0,14.0,4.0,122.0,110.0,-5.0
45,2.0,28.0,7.0,2,1636.0,1630.0,12.0,10.0,120.0,101.0,-6.0
46,6.0,24.0,5.0,0,810.0,807.0,16.0,4.0,109.0,107.0,-3.0
47,3.0,21.0,1.0,8,1330.0,1332.0,20.0,10.0,137.0,140.0,2.0
48,7.0,14.0,4.0,8,806.0,801.0,20.0,8.0,62.0,69.0,-5.0
49,10.0,15.0,6.0,1,1445.0,1444.0,8.0,10.0,110.0,96.0,-1.0
50,10.0,22.0,6.0,2,1635.0,1631.0,16.0,8.0,100.0,91.0,-4.0
51,9.0,19.0,1.0,7,900.0,855.0,23.0,10.0,98.0,118.0,-5.0
52,1.0,12.0,2.0,6,1935.0,1933.0,18.0,2.0,68.0,54.0,-2.0
53,1.0,2.0,6.0,0,1805.0,1800.0,22.0,5.0,87.0,99.0,-5.0
54,11.0,7.0,1.0,1,945.0,952.0,9.0,3.0,245.0,245.0,7.0
56,6.0,17.0,5.0,4,2045.0,2045.0,12.0,10.0,275.0,268.0,0.0
58,6.0,5.0,7.0,8,1002.0,1001.0,31.0,4.0,78.0,83.0,-1.0
59,10.0,29.0,6.0,2,1051.0,1047.0,20.0,4.0,74.0,73.0,-4.0
62,10.0,26.0,3.0,1,1130.0,1126.0,16.0,7.0,255.0,239.0,-4.0
63,3.0,9.0,3.0,8,1950.0,1958.0,11.0,3.0,53.0,51.0,8.0
64,11.0,3.0,4.0,1,1755.0,1808.0,11.0,6.0,180.0,169.0,13.0
65,2.0,20.0,6.0,4,1210.0,1204.0,10.0,7.0,190.0,176.0,-6.0
66,8.0,28.0,7.0,1,740.0,735.0,8.0,4.0,95.0,81.0,-5.0
67,3.0,27.0,7.0,6,611.0,610.0,16.0,9.0,236.0,221.0,-1.0
69,9.0,19.0,1.0,1,2210.0,2217.0,7.0,4.0,70.0,54.0,7.0
70,10.0,12.0,3.0,1,925.0,924.0,11.0,6.0,235.0,241.0,-1.0
71,9.0,20.0,2.0,1,1845.0,1842.0,8.0,6.0,60.0,60.0,-3.0
72,4.0,5.0,2.0,3,1250.0,1249.0,17.0,4.0,165.0,174.0,-1.0
74,12.0,20.0,2.0,2,1305.0,1312.0,9.0,6.0,95.0,88.0,7.0
75,8.0,6.0,6.0,0,2131.0,2129.0,11.0,3.0,115.0,94.0,-2.0
76,6.0,23.0,4.0,10,659.0,657.0,15.0,14.0,39.0,50.0,-2.0
78,12.0,20.0,2.0,6,1048.0,1108.0,31.0,16.0,277.0,279.0,20.0
79,8.0,22.0,1.0,0,1054.0,1048.0,17.0,6.0,64.0,54.0,-6.0
81,4.0,10.0,7.0,8,1600.0,1555.0,14.0,8.0,94.0,90.0,-5.0
82,12.0,15.0,4.0,7,725.0,721.0,20.0,10.0,200.0,200.0,-4.0
83,4.0,18.0,1.0,3,1026.0,1018.0,9.0,9.0,77.0,70.0,-8.0
85,2.0,23.0,2.0,3,800.0,755.0,21.0,6.0,106.0,105.0,-5.0
87,5.0,26.0,4.0,8,1017.0,1022.0,17.0,6.0,113.0,109.0,5.0
88,10.0,20.0,4.0,1,1210.0,1205.0,10.0,6.0,155.0,139.0,-5.0
90,7.0,3.0,7.0,2,1806.0,1802.0,25.0,5.0,98.0,88.0,-4.0
91,10.0,30.0,7.0,1,955.0,956.0,8.0,11.0,130.0,118.0,1.0
92,3.0,24.0,4.0,2,1745.0,1745.0,12.0,5.0,70.0,57.0,0.0
93,5.0,16.0,1.0,7,2215.0,2213.0,15.0,3.0,189.0,187.0,-2.0
96,9.0,19.0,1.0,8,1510.0,1503.0,18.0,2.0,120.0,115.0,-7.0
97,11.0,27.0,7.0,1,905.0,911.0,9.0,4.0,125.0,128.0,6.0
98,3.0,29.0,2.0,1,805.0,758.0,17.0,3.0,95.0,95.0,-7.0
99,12.0,29.0,4.0,1,1830.0,1836.0,11.0,10.0,260.0,257.0,6.0
100,12.0,21.0,3.0,7,1055.0,1052.0,20.0,12.0,131.0,131.0,-3.0
101,4.0,19.0,2.0,1,1335.0,1342.0,6.0,5.0,60.0,55.0,7.0
103,4.0,18.0,1.0,1,2100.0,2101.0,9.0,4.0,70.0,63.0,1.0
104,2.0,22.0,1.0,0,600.0,553.0,18.0,6.0,104.0,97.0,-7.0
105,5.0,30.0,1.0,8,1530.0,1524.0,10.0,5.0,115.0,99.0,-6.0
106,4.0,24.0,7.0,2,1720.0,1717.0,9.0,3.0,107.0,86.0,-3.0
107,1.0,22.0,5.0,7,1000.0,955.0,21.0,6.0,81.0,71.0,-5.0
108,9.0,9.0,5.0,8,1830.0,1822.0,14.0,3.0,106.0,102.0,-8.0
109,8.0,9.0,2.0,1,1455.0,1501.0,13.0,5.0,65.0,62.0,6.0
110,9.0,25.0,7.0,2,1512.0,1509.0,9.0,5.0,57.0,40.0,-3.0
111,5.0,29.0,7.0,1,700.0,655.0,10.0,9.0,240.0,231.0,-5.0
112,3.0,11.0,5.0,1,2055.0,2104.0,14.0,11.0,90.0,94.0,9.0
113,8.0,31.0,3.0,2,520.0,518.0,15.0,7.0,145.0,137.0,-2.0
114,2.0,24.0,3.0,4,1925.0,1923.0,20.0,6.0,260.0,247.0,-2.0
115,12.0,21.0,3.0,2,1300.0,1259.0,23.0,4.0,194.0,179.0,-1.0
117,11.0,5.0,6.0,8,850.0,844.0,26.0,6.0,143.0,127.0,-6.0
118,6.0,18.0,6.0,8,810.0,804.0,11.0,9.0,119.0,106.0,-6.0
121,9.0,17.0,6.0,1,2010.0,2014.0,10.0,5.0,110.0,97.0,4.0
122,8.0,31.0,3.0,1,2050.0,2113.0,13.0,4.0,75.0,75.0,23.0
123,2.0,22.0,1.0,0,1345.0,1335.0,22.0,6.0,85.0,82.0,-10.0
125,2.0,17.0,3.0,3,1355.0,1347.0,14.0,3.0,126.0,115.0,-8.0
127,10.0,5.0,3.0,2,1340.0,1339.0,15.0,4.0,65.0,56.0,-1.0
128,7.0,10.0,7.0,0,831.0,828.0,14.0,6.0,107.0,90.0,-3.0
129,6.0,18.0,6.0,8,1244.0,1241.0,10.0,7.0,56.0,52.0,-3.0
130,1.0,27.0,3.0,1,2005.0,2000.0,8.0,6.0,80.0,75.0,-5.0
131,1.0,29.0,5.0,1,555.0,556.0,14.0,5.0,170.0,160.0,1.0
133,12.0,10.0,6.0,11,1717.0,1711.0,8.0,5.0,50.0,46.0,-6.0
135,7.0,8.0,5.0,5,1712.0,1705.0,10.0,12.0,202.0,194.0,-7.0
137,6.0,2.0,4.0,1,1130.0,1126.0,14.0,6.0,75.0,76.0,-4.0
139,2.0,26.0,5.0,6,1300.0,1255.0,19.0,13.0,149.0,150.0,-5.0
140,6.0,26.0,7.0,1,1920.0,1920.0,13.0,7.0,90.0,92.0,0.0
141,3.0,10.0,4.0,2,1400.0,1355.0,12.0,3.0,208.0,184.0,-5.0
142,8.0,12.0,5.0,4,1015.0,1025.0,29.0,5.0,227.0,241.0,10.0
